연월,물가농축수산물지수
201501,99.74
201502,101.02
201503,99.04
201504,99.12
201505,101.24
201506,100.79
201507,100.28
201508,101.5
201509,101.31
201510,99.32
201511,96.84
201512,99.8
201601,101.26
201602,106.04
201603,103.64
201604,103.42
201605,101.85
201606,99.33
201607,99.93
201608,101.97
201609,110.56
201610,106.93
201611,104.63
201612,106.51
201701,111.77
201702,112.12
201703,110.45
201704,108.39
201705,108.39
201706,106.47
201707,106.89
201708,112.9
201709,115.06
201710,110.0
201711,104.79
201712,107.28
201801,109.72
201802,115.27
201803,111.73
201804,112.19
201805,110.2
201806,107.47
201807,108.13
201808,118.13
201809,124.93
201810,119.37
201811,112.74
201812,112.81
201901,112.46
201902,113.64
201903,111.41
201904,112.93
201905,111.54
201906,109.36
201907,107.82
201908,109.54
201909,114.74
201910,114.86
201911,109.67
201912,111.92
