출생년월,출생두수
201501,50325
201502,56096
201503,100232
201504,120731
201505,113786
201506,89363
201507,70859
201508,61565
201509,47144
201510,45396
201511,42522
201512,42603
201601,46456
201602,60008
201603,104834
201604,127523
201605,113930
201606,90795
201607,72623
201608,61918
201609,49735
201610,47024
201611,40688
201612,44441
201701,48321
201702,62816
201703,111795
201704,127743
201705,119085
201706,94598
201707,72369
201708,62746
201709,48665
201710,47371
201711,40354
201712,44277
201801,51406
201802,62018
201803,113024
201804,131972
201805,113968
201806,93969
201807,78166
201808,68137
201809,53853
201810,51968
201811,45356
201812,49410
201901,52854
201902,67792
201903,119302
201904,134172
201905,120441
201906,95473
201907,80405
201908,72646
201909,58982
201910,54404
201911,47730
201912,52405
