"비목별",2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019
"비목별",20두미만,20~49두,50~99두,100두이상,평균,20두미만,20~49두,50~99두,100두이상,평균,20두미만,20~49두,50~99두,100두이상,평균,20두미만,20~49두,50~99두,100두이상,평균,20두미만,20~49두,50~99두,100두이상,평균
"비용합계",7327730,7028246,6851606,6622375,6867510,8478168,7615765,7417815,7087639,7469854,9184428,8032970,7435459,7067850,7671892,9564621,8961120,8399274,7710321,8406394,10113723,8981958,8707434,8120390,8700288
"농후사료",1862556,1858480,1952475,1812707,1861126,1942933,1813769,2078699,1894531,1923833,2007441,1837601,1881705,1793744,1855040,2057392,1918734,1822915,1823167,1875621,2139428,1958480,1747972,1752559,1844540
"조사료",456368,397503,377420,383169,395959,439907,386186,419780,351067,386124,409070,470781,352976,350870,386668,547394,536831,730022,367695,518698,585994,445534,595258,479495,513412
"TMR사료",447033,565861,634976,699425,618165,593710,631969,490336,516260,546646,627589,614527,627193,535139,588499,367503,673760,645403,488761,553312,388905,616584,878822,859210,752589
"감가상각비",58916,38339,35547,21404,33849,67610,53938,45421,28518,43210,68979,52701,29564,29599,40332,86202,54241,33221,24377,41419,89094,57404,30899,24545,41316
"수리유지비",15223,5760,2691,4469,5962,11787,2803,2046,2651,3837,10875,8117,2472,2998,5131,6598,5933,2163,3389,4084,8425,4239,2680,2650,3714
"임차료",488,2030,2941,7236,4135,329,276,0,939,505,166,0,0,0,23,21,176,243,600,340,0,95,547,703,443
"감가상각비",152647,159871,162463,152638,156405,201015,191166,204681,141823,174528,261330,204835,196379,161942,193962,313874,255909,187445,168834,212149,269747,275153,186582,178009,213045
"수리유지비",19321,14890,17472,13907,15719,32333,20532,8493,12204,16036,34351,8542,11650,10616,13722,8700,13209,11271,11961,11647,10441,12548,11227,8893,10478
"임차료",1719,2197,2626,2173,2211,4060,0,1798,1294,1511,1675,8462,390,0,2245,1510,933,68,237,520,3115,585,149,0,546
"소농구비",8296,5114,3238,2827,4236,15859,4245,3545,2485,4978,11546,5776,4723,4962,6010,10783,10034,7101,1793,6142,14225,6364,5462,2311,5444
"감가상각비",133743,126719,123609,105347,118322,167193,147899,134270,102866,128519,206006,169903,116230,122213,143277,234661,172851,147304,107861,148905,223821,174429,159708,114832,152513
"수리유지비",23411,12379,11818,22675,18117,30522,39795,35449,13568,26405,34541,18904,20106,44163,31232,59771,48907,32180,24049,36360,76438,75315,25608,24628,42524
"임차료",244,758,0,579,440,482,0,0,684,358,1009,39,0,279,259,9273,430,0,0,1313,18176,0,0,182,2279
"생산관리비",43713,32775,28882,24083,29983,47632,37961,33960,27040,33812,48562,41014,36940,24057,34467,45430,34958,29667,23417,30454,53914,35360,37649,22975,33133
"기타비용",27287,15831,13881,10812,15050,26183,20607,21548,7495,16026,38881,18158,18422,12697,18995,58108,28895,70610,12334,36420,62155,33971,35378,14036,29620
"고정자본이자",84373,98459,88478,89073,90307,96325,92609,88530,68467,81865,118807,79037,69365,62027,75186,111742,92227,88435,66518,82978,99039,88794,80306,64692,77755
"유동자본이자",99630,111512,106508,111311,108552,92056,96604,95674,110269,101700,88850,95025,90908,95354,93608,106455,109817,111100,118221,113583,103939,105964,109005,113088,109497
